material_absorber,material_etl,material_htl,absorber_band_gap_eV,etl_band_gap_eV,htl_band_gap_eV,cbo_eV,vbo_eV,absorber_etl_type,absorber_htl_type,gap_method,functional,gap_type,material_class,source_doi,source_paper
CsPb0.625Zn0.375IBr2,ZnSe,GaAs,1.05,2.81,1.42,0.18,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,ZnTe,1.05,2.81,2.25,0.18,-0.66,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,CNTS,1.05,2.81,1.74,0.18,-0.29,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,MoO3,1.05,2.81,3.0,0.18,0.02,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,MEH-PPV,1.05,2.81,2.1,0.18,0.42,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,CuAlO2,1.05,2.81,3.46,0.18,-0.64,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,MoS2,1.05,2.81,1.29,0.18,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,Cu2Te,1.05,2.81,1.18,0.18,-0.06,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,Zn3P2,1.05,2.81,1.5,0.18,-0.38,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,PTAA,1.05,2.4,2.96,0.09,0.06,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
