material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
Cs2TlSbCl6 (cubic),1.12,cubic,-1.394131,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAlCl6 (cubic),2.1587,cubic,-1.468353,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAsCl6 (cubic),1.1805,cubic,-1.139367,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgBiCl6 (cubic),1.5173,cubic,-1.258391,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgGaCl6 (cubic),0.8293,cubic,-1.290326,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgInCl6 (cubic),0.9338,cubic,-1.311473,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgSbCl6 (cubic),1.277,cubic,-1.213267,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuAlCl6 (cubic),0.3487,cubic,-1.327034,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuBiCl6 (cubic),0.3961,cubic,-1.134472,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuSbCl6 (cubic),0.105,cubic,-1.094924,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAlCl6 (cubic),0.6905,cubic,-1.422072,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAsCl6 (cubic),0.5018,cubic,-1.115108,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuBiCl6 (cubic),0.7442,cubic,-1.231303,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuSbCl6 (cubic),0.6278,cubic,-1.18726,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAlCl6 (cubic),2.7501,cubic,-1.521625,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAsCl6 (cubic),0.3006,cubic,-1.195962,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InBiCl6 (cubic),0.2369,cubic,-1.308173,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InGaCl6 (cubic),1.5348,cubic,-1.359003,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InInCl6 (cubic),1.3588,cubic,-1.364315,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InSbCl6 (cubic),0.3352,cubic,-1.26394,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAlCl6 (cubic),3.5545,cubic,-1.557294,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAsCl6 (cubic),1.0733,cubic,-1.215625,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlBiCl6 (cubic),0.9927,cubic,-1.335997,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlGaCl6 (cubic),2.2592,cubic,-1.375169,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
