ml_a,ml_b,bilayer_eg_eV,delta_ev_eV,delta_ec_eV
2H-MoTe2,1T-CdI2,1.5,1.5,1.31
2H-WS2,1T-CdI2,2.2,2.2,0.48
2H-WSe2,1T-CdI2,1.88,1.88,1.1
2H-WTe2,1T-CdI2,1.3,1.3,1.64
1T-HfS2,1T-GeBr2,2.04,2.9,0.18
1T-HfSe2,1T-GeBr2,1.1,2.02,1.22
1T-GeBr2,1T-HgBr2,3.09,3.61,0.45
1T-GeBr2,1T-MgBr2,3.09,3.61,0.92
1T-GeBr2,1T-MgCl2,3.09,3.61,1.98
1T-PdTe2,1T-GeBr2,0.09,0.83,2.79
1T-PtS2,1T-GeBr2,2.65,2.79,0.32
1T-SnSe2,1T-GeBr2,1.44,1.81,0.62
1T-TiS2,1T-GeBr2,0.71,1.11,0.82
1T-GeBr2,1T-ZnBr2,3.09,3.61,0.58
1T-GeBr2,1T-ZnCl2,3.09,3.61,1.56
1T-ZrS2,1T-GeBr2,1.95,2.56,0.04
1T-ZrSe2,1T-GeBr2,0.94,1.68,1.09
2H-MoS2,1T-GeBr2,2.22,2.22,0.8
1T-HfSe2,1T-GeI2,1.1,2.02,0.33
1T-GeI2,1T-MgBr2,2.64,3.05,1.82
1T-GeI2,1T-MgCl2,2.64,3.05,2.87
1T-GeI2,1T-MgI2,2.64,3.05,0.38
1T-OTl2,1T-GeI2,1.51,1.51,0.94
1T-PdTe2,1T-GeI2,0.09,0.83,1.9
1T-PtSe2,1T-GeI2,1.72,2.08,0.49
1T-PtTe2,1T-GeI2,0.62,1.31,1.82
1T-GeI2,1T-ZnBr2,2.64,3.05,1.48
1T-GeI2,1T-ZnCl2,2.64,3.05,2.45
1T-ZrSe2,1T-GeI2,0.94,1.68,0.19
2H-GeI2,1T-GeI2,2.36,2.93,0.03
2H-MoSe2,1T-GeI2,1.95,1.95,0.53
2H-MoTe2,1T-GeI2,1.5,1.5,1.1
2H-WS2,1T-GeI2,2.2,2.2,0.26
1T-HfS2,1T-HgBr2,2.04,2.9,0.63
1T-HfS2,1T-MgBr2,2.04,2.9,1.1
1T-HfS2,1T-MgCl2,2.04,2.9,2.16
1T-HfS2,1T-PtO2,2.04,2.9,0.99
1T-HfS2,1T-SnS2,2.04,2.9,0.39
1T-SnSe2,1T-HfS2,1.44,1.81,0.44
1T-TiS2,1T-HfS2,0.71,1.11,0.64
1T-HfS2,1T-ZnBr2,2.04,2.9,0.76
1T-HfS2,1T-ZnCl2,2.04,2.9,1.74
1T-ZrSe2,1T-HfS2,0.94,1.68,0.91
1T-HfSe2,1T-HgBr2,1.1,2.02,1.68
1T-HfSe2,1T-MgBr2,1.1,2.02,2.15
1T-HfSe2,1T-MgCl2,1.1,2.02,3.2
1T-HfSe2,1T-MgI2,1.1,2.02,0.71
1T-HfSe2,1T-PbI2,1.1,2.02,0.71
1T-HfSe2,1T-PtO2,1.1,2.02,2.03
